Registration,POD,Security Type,Confirm #,Issue Date,Maturity Date,Interest Rate,Status,Amount,Current Value
Jonathan A Marshall,,Series I Savings Bond,IAAAQ,11/1/2021,11/1/2051,3.34%,Active,$200.00 ,$245.28 
Jonathan A Marshall,,Series I Savings Bond,IAAAN,10/1/2021,10/1/2051,3.12%,Active,$200.00 ,$246.40 
Jonathan A Marshall,,Series I Savings Bond,IAAAP,10/1/2021,10/1/2051,3.12%,Active,$200.00 ,$246.40 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAH9,1/1/2026,1/1/2056,4.26%,Active,$500.00 ,$506.60 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAHB,9/1/2025,9/1/2055,4.24%,Active,$500.00 ,$513.60 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAER,10/1/2024,10/1/2054,4.44%,Active,$300.00 ,$319.08 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAD8,8/1/2024,8/1/2054,4.66%,Active,"$1,000.00 ","$1,071.20 "
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAED,8/1/2024,8/1/2054,4.66%,Active,$500.00 ,$535.60 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAD6,7/1/2024,7/1/2054,4.66%,Active,"$1,000.00 ","$1,075.20 "
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAADL,5/1/2024,5/1/2054,4.66%,Active,"$1,000.00 ","$1,083.20 "
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAADB,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAADG,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAC1,1/1/2024,1/1/2054,4.66%,Active,$200.00 ,$220.72 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAACJ,9/1/2023,9/1/2053,4.03%,Active,$200.00 ,$221.84 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAB1,4/1/2023,4/1/2053,3.53%,Active,$200.00 ,$225.68 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAABY,2/1/2023,2/1/2053,3.75%,Active,$200.00 ,$227.04 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAABH,10/1/2022,10/1/2052,3.12%,Active,$500.00 ,$584.60 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAABJ,10/1/2022,10/1/2052,3.12%,Active,$500.00 ,$584.60 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAABN,10/1/2022,10/1/2052,3.12%,Active,"$1,000.00 ","$1,169.20 "
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAABB,9/1/2022,9/1/2052,3.12%,Active,$500.00 ,$586.00 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAABF,9/1/2022,9/1/2052,3.12%,Active,$200.00 ,$234.40 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAA1,7/1/2022,7/1/2052,3.34%,Active,$200.00 ,$235.60 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAAZ,5/1/2022,5/1/2052,3.34%,Active,$200.00 ,$236.80 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAAX,3/1/2022,3/1/2052,3.12%,Active,$200.00 ,$242.80 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAAW,1/1/2022,1/1/2052,3.34%,Active,$200.00 ,$244.00 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAAU,12/1/2021,12/1/2051,3.34%,Active,$500.00 ,$611.60 
Jonathan A Marshall,Vivian R Marshall,Series I Savings Bond,IAAAR,11/1/2021,11/1/2051,3.34%,Active,$500.00 ,$613.20 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAH8,1/1/2026,1/1/2056,4.26%,Active,$500.00 ,$506.60 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAHA,9/1/2025,9/1/2055,4.24%,Active,$500.00 ,$513.60 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAEQ,10/1/2024,10/1/2054,4.44%,Active,$300.00 ,$319.08 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAD7,8/1/2024,8/1/2054,4.66%,Active,"$1,000.00 ","$1,071.20 "
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAEC,8/1/2024,8/1/2054,4.66%,Active,$500.00 ,$535.60 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAD5,7/1/2024,7/1/2054,4.66%,Active,"$1,000.00 ","$1,075.20 "
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAADK,5/1/2024,5/1/2054,4.66%,Active,"$1,000.00 ","$1,083.20 "
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAADA,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAADF,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAC7,3/1/2024,3/1/2054,4.44%,Active,$200.00 ,$219.12 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAACU,11/1/2023,11/1/2053,4.66%,Active,$200.00 ,$222.32 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAB7,6/1/2023,6/1/2053,4.26%,Active,$200.00 ,$224.08 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAABQ,12/1/2022,12/1/2052,3.75%,Active,$200.00 ,$228.32 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAABG,10/1/2022,10/1/2052,3.12%,Active,$500.00 ,$584.60 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAABI,10/1/2022,10/1/2052,3.12%,Active,$500.00 ,$584.60 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAABM,10/1/2022,10/1/2052,3.12%,Active,"$1,000.00 ","$1,169.20 "
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAABA,9/1/2022,9/1/2052,3.12%,Active,$500.00 ,$586.00 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAABE,9/1/2022,9/1/2052,3.12%,Active,$200.00 ,$234.40 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAA2,7/1/2022,7/1/2052,3.34%,Active,$200.00 ,$235.60 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAA0,6/1/2022,6/1/2052,3.34%,Active,$200.00 ,$236.24 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAAY,3/1/2022,3/1/2052,3.12%,Active,$200.00 ,$242.80 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAAT,12/1/2021,12/1/2051,3.34%,Active,$500.00 ,$611.60 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAAV,12/1/2021,12/1/2051,3.34%,Active,$200.00 ,$244.64 
Jonathan A Marshall,Henry J Marshall,Series I Savings Bond,IAAAS,11/1/2021,11/1/2051,3.34%,Active,$500.00 ,$613.20 
Henry J Marshall,,Series I Savings Bond,IAAAM,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
Henry J Marshall,,Series I Savings Bond,IAAAO,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
Henry J Marshall,,Series I Savings Bond,IAAAK,12/1/2023,12/1/2053,4.66%,Active,"$1,000.00 ","$1,107.60 "
Henry J Marshall,,Series I Savings Bond,IAAAL,12/1/2023,12/1/2053,4.66%,Active,$500.00 ,$553.80 
Henry J Marshall,,Series I Savings Bond,IAAAJ,1/1/2023,1/1/2053,3.75%,Active,"$1,000.00 ","$1,138.40 "
Henry J Marshall,,Series I Savings Bond,IAAAH,9/1/2022,9/1/2052,3.12%,Active,$400.00 ,$468.80 
Henry J Marshall,,Series I Savings Bond,IAAAI,9/1/2022,9/1/2052,3.12%,Active,$400.00 ,$468.80 
Henry J Marshall,,Series I Savings Bond,IAAAG,8/1/2022,8/1/2052,3.34%,Active,$400.00 ,$470.08 
Henry J Marshall,,Series I Savings Bond,IAAAF,7/1/2022,7/1/2052,3.34%,Active,$400.00 ,$471.20 
Henry J Marshall,,Series I Savings Bond,IAAAE,4/1/2022,4/1/2052,3.12%,Active,$400.00 ,$484.32 
Henry J Marshall,,Series I Savings Bond,IAAAD,3/1/2022,3/1/2052,3.12%,Active,$400.00 ,$485.60 
Henry J Marshall,,Series I Savings Bond,IAAAC,2/1/2022,2/1/2052,3.34%,Active,$200.00 ,$243.36 
Henry J Marshall,,Series I Savings Bond,IAAAB,1/1/2022,1/1/2052,3.34%,Active,$200.00 ,$244.00 
Henry J Marshall,,Series I Savings Bond,IAAAA,12/1/2021,12/1/2051,3.34%,Active,$200.00 ,$244.64 
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAY,1/1/2026,1/1/2056,4.26%,Active,$500.00 ,$506.60 
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAX,4/1/2025,4/1/2055,4.34%,Active,"$1,000.00 ","$1,040.00 "
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAW,3/1/2025,3/1/2055,4.34%,Active,"$1,000.00 ","$1,044.00 "
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAV,10/1/2024,10/1/2054,4.44%,Active,$500.00 ,$531.80 
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAT,8/1/2024,8/1/2054,4.66%,Active,"$2,000.00 ","$2,142.40 "
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAU,8/1/2024,8/1/2054,4.66%,Active,"$1,000.00 ","$1,071.20 "
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAS,7/1/2024,7/1/2054,4.66%,Active,"$2,000.00 ","$2,150.40 "
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAP,5/1/2024,5/1/2054,4.66%,Active,"$1,000.00 ","$1,083.20 "
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAQ,5/1/2024,5/1/2054,4.66%,Active,"$1,000.00 ","$1,083.20 "
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAR,5/1/2024,5/1/2054,4.66%,Active,"$1,000.00 ","$1,083.20 "
Henry J Marshall,Vivian R Marshall,Series I Savings Bond,IAAAN,4/1/2024,4/1/2054,4.44%,Active,$500.00 ,$545.80 
